Total number of test: ,10000
This is test number: ,0
The Label of this picture is: ,7
0: ,4.3
1: ,8.7
2: ,8.7
3: ,17.4
4: ,4.3
5: ,4.3
6: ,4.3
7: ,34.8
8: ,4.3
9: ,8.7
Correct

This is test number: ,1
The Label of this picture is: ,2
0: ,11.4
1: ,11.4
2: ,22.9
3: ,11.4
4: ,2.9
5: ,11.4
6: ,5.7
7: ,5.7
8: ,5.7
9: ,11.4
Correct

This is test number: ,2
The Label of this picture is: ,1
0: ,11.8
1: ,23.5
2: ,5.9
3: ,2.9
4: ,11.8
5: ,11.8
6: ,5.9
7: ,11.8
8: ,2.9
9: ,11.8
Correct

This is test number: ,3
The Label of this picture is: ,0
0: ,34.8
1: ,8.7
2: ,4.3
3: ,8.7
4: ,4.3
5: ,8.7
6: ,8.7
7: ,4.3
8: ,8.7
9: ,8.7
Correct

This is test number: ,4
The Label of this picture is: ,4
0: ,10.3
1: ,20.5
2: ,10.3
3: ,5.1
4: ,20.5
5: ,5.1
6: ,5.1
7: ,10.3
8: ,2.6
9: ,10.3
TOP 5

This is test number: ,5
The Label of this picture is: ,1
0: ,12.9
1: ,25.8
2: ,3.2
3: ,3.2
4: ,12.9
5: ,6.5
6: ,6.5
7: ,12.9
8: ,3.2
9: ,12.9
Correct

This is test number: ,6
The Label of this picture is: ,4
0: ,9.1
1: ,9.1
2: ,9.1
3: ,9.1
4: ,18.2
5: ,9.1
6: ,9.1
7: ,9.1
8: ,9.1
9: ,9.1
Correct

This is test number: ,7
The Label of this picture is: ,9
0: ,11.4
1: ,11.4
2: ,5.7
3: ,5.7
4: ,11.4
5: ,5.7
6: ,2.9
7: ,11.4
8: ,11.4
9: ,22.9
Correct

This is test number: ,8
The Label of this picture is: ,5
0: ,4.3
1: ,8.7
2: ,17.4
3: ,17.4
4: ,8.7
5: ,17.4
6: ,8.7
7: ,4.3
8: ,8.7
9: ,4.3
TOP 5

This is test number: ,9
The Label of this picture is: ,9
0: ,6.9
1: ,6.9
2: ,6.9
3: ,6.9
4: ,6.9
5: ,6.9
6: ,3.4
7: ,13.8
8: ,13.8
9: ,27.6
Correct

This is test number: ,10
The Label of this picture is: ,0
0: ,43.2
1: ,5.4
2: ,5.4
3: ,5.4
4: ,2.7
5: ,5.4
6: ,5.4
7: ,10.8
8: ,5.4
9: ,10.8
Correct

This is test number: ,11
The Label of this picture is: ,6
0: ,13.3
1: ,6.7
2: ,3.3
3: ,13.3
4: ,6.7
